episode,target,kind,target_x,target_y,camera,split,task_index,red_cube_x,red_cube_y,blue_cube_x,blue_cube_y,green_cylinder_x,green_cylinder_y,yellow_box_x,yellow_box_y
18,blue_cube,nominal,0.1,-0.06,table,train,1,0.0674,0.1909,0.1,-0.06,0.5297,0.1328,0.4874,0.0022
19,blue_cube,nominal,0.1,-0.06,table,train,1,0.455,0.0242,0.1,-0.06,0.2739,0.1592,0.1127,0.1294
20,blue_cube,x_var,0.08,-0.06,table,train,1,0.3078,-0.1699,0.08,-0.06,0.1275,0.0398,0.2788,0.2066
21,blue_cube,x_var,0.09000000000000001,-0.06,table,train,1,0.4512,-0.1543,0.09000000000000001,-0.06,0.5317,0.0301,0.175,-0.0794
22,blue_cube,x_var,0.11,-0.06,table,train,1,0.5305,-0.1382,0.11,-0.06,0.2859,-0.1089,0.0986,0.0768
23,blue_cube,x_var,0.12000000000000001,-0.06,table,train,1,0.0075,-0.0517,0.12000000000000001,-0.06,0.4914,0.162,0.4446,-0.0827
24,blue_cube,y_var,0.1,-0.08,table,train,1,0.2589,-0.1041,0.1,-0.08,0.1549,-0.184,0.0591,-0.1878
25,blue_cube,y_var,0.1,-0.06999999999999999,table,train,1,0.0804,-0.1645,0.1,-0.06999999999999999,0.3857,-0.0479,-0.0106,0.2064
26,blue_cube,y_var,0.1,-0.049999999999999996,table,train,1,0.4603,0.141,0.1,-0.049999999999999996,0.3668,-0.0939,0.1458,0.0315
27,blue_cube,y_var,0.1,-0.039999999999999994,table,train,1,0.3551,-0.1374,0.1,-0.039999999999999994,0.5245,0.0847,0.3374,0.2078
28,blue_cube,heldout,0.1,-0.06,heldout,heldout,1,0.2686,-0.1513,0.1,-0.06,0.3562,0.1834,0.4746,-0.1441
29,blue_cube,heldout,0.09000000000000001,-0.06,heldout,heldout,1,0.1843,-0.1789,0.09000000000000001,-0.06,0.3244,-0.1852,0.3548,-0.0904
30,blue_cube,heldout,0.1,-0.049999999999999996,heldout,heldout,1,0.4996,0.107,0.1,-0.049999999999999996,0.4716,-0.0845,-0.0087,0.2033
31,green_cylinder,nominal,0.1,0.02,table,train,2,0.022,0.2195,0.4886,0.1338,0.1,0.02,0.4335,-0.0711
32,green_cylinder,nominal,0.1,0.02,table,train,2,0.5355,-0.1194,0.2405,-0.1371,0.1,0.02,0.4051,0.0863
33,green_cylinder,nominal,0.1,0.02,table,train,2,0.3536,-0.1491,0.4427,-0.1165,0.1,0.02,0.0206,-0.0508
34,green_cylinder,nominal,0.1,0.02,table,train,2,0.0976,0.1592,0.2974,-0.0826,0.1,0.02,0.1467,-0.0534
35,green_cylinder,x_var,0.08,0.02,table,train,2,0.197,-0.1148,0.4552,0.1497,0.08,0.02,0.2999,-0.177
36,green_cylinder,x_var,0.09000000000000001,0.02,table,train,2,0.5447,0.0298,0.0462,-0.1612,0.09000000000000001,0.02,0.0877,0.1042
37,green_cylinder,x_var,0.11,0.02,table,train,2,0.33,0.1962,0.5372,0.1599,0.11,0.02,0.0093,-0.0829
38,green_cylinder,x_var,0.12000000000000001,0.02,table,train,2,0.0391,-0.0854,0.4326,0.0304,0.12000000000000001,0.02,0.5438,-0.1836
39,green_cylinder,y_var,0.1,0.0,table,train,2,0.2637,0.2126,0.308,-0.1441,0.1,0.0,0.4765,-0.0135
40,green_cylinder,y_var,0.1,0.01,table,train,2,0.1523,-0.1476,0.0694,0.1994,0.1,0.01,0.4008,0.0196
41,green_cylinder,y_var,0.1,0.03,table,train,2,0.0457,-0.168,0.1793,-0.1705,0.1,0.03,0.4514,0.0795
42,green_cylinder,y_var,0.1,0.04,table,train,2,0.3644,0.0009,0.2942,-0.1261,0.1,0.04,0.3777,0.0985
43,green_cylinder,heldout,0.1,0.02,heldout,heldout,2,0.2494,-0.0551,0.5392,-0.07,0.1,0.02,0.5353,0.0683
44,green_cylinder,heldout,0.09000000000000001,0.02,heldout,heldout,2,0.4807,0.2005,0.4213,-0.0597,0.09000000000000001,0.02,0.5371,0.0802
45,green_cylinder,heldout,0.1,0.03,heldout,heldout,2,0.157,-0.1441,0.4553,-0.018,0.1,0.03,0.478,-0.126
46,yellow_box,nominal,0.1,0.09,table,train,3,0.0621,-0.0684,0.4547,0.0786,0.2829,-0.0399,0.1,0.09
47,yellow_box,nominal,0.1,0.09,table,train,3,0.2985,-0.0996,0.3086,0.1539,0.091,-0.0687,0.1,0.09
48,yellow_box,nominal,0.1,0.09,table,train,3,0.3905,-0.1872,0.3013,0.0638,0.1704,-0.064,0.1,0.09
49,yellow_box,nominal,0.1,0.09,table,train,3,0.3439,0.2173,0.1916,-0.1717,0.0566,-0.1531,0.1,0.09
50,yellow_box,x_var,0.08,0.09,table,train,3,0.0174,-0.0703,-0.0217,0.0212,0.5262,-0.1618,0.08,0.09
51,yellow_box,x_var,0.09000000000000001,0.09,table,train,3,0.0071,-0.0802,0.3143,0.0486,0.5025,0.052,0.09000000000000001,0.09
52,yellow_box,x_var,0.11,0.09,table,train,3,0.3639,0.1512,0.4114,-0.0517,0.3273,0.0191,0.11,0.09
53,yellow_box,x_var,0.12000000000000001,0.09,table,train,3,0.5317,0.0322,0.3586,-0.0189,0.0988,0.1681,0.12000000000000001,0.09
54,yellow_box,y_var,0.1,0.06999999999999999,table,train,3,0.423,0.0587,0.3637,0.1957,0.255,-0.1887,0.1,0.06999999999999999
55,yellow_box,y_var,0.1,0.08,table,train,3,-0.0199,0.0225,0.5151,0.0006,0.0647,-0.1341,0.1,0.08
56,yellow_box,y_var,0.1,0.09999999999999999,table,train,3,0.1444,0.0143,0.3942,0.0549,0.431,-0.1168,0.1,0.09999999999999999
57,yellow_box,y_var,0.1,0.11,table,train,3,0.4228,0.0023,0.5232,0.0477,0.0779,-0.0904,0.1,0.11
58,yellow_box,heldout,0.1,0.09,heldout,heldout,3,0.1281,-0.0092,0.5146,-0.1617,0.5392,-0.0043,0.1,0.09
59,yellow_box,heldout,0.09000000000000001,0.09,heldout,heldout,3,0.2753,-0.1451,0.4964,-0.0098,0.1451,0.0166,0.09000000000000001,0.09
60,yellow_box,heldout,0.1,0.09999999999999999,heldout,heldout,3,0.3202,0.1693,0.4126,-0.0269,0.0718,-0.0316,0.1,0.09999999999999999
