index,j1_rad,j2_rad,j3_rad,j4_rad,j5_rad,j6_rad,j1_deg,j2_deg,j3_deg,j4_deg,j5_deg,j6_deg,camera,image_path
27,-0.8333,-1.2179,-1.6597,-1.0776,-0.1424,-0.3207,-47.75,-69.78,-95.09,-61.74,-8.16,-18.38,top,images/top/000027.png
28,-1.985,-0.7103,-1.5688,0.4253,-0.2075,-0.3081,-113.73,-40.7,-89.88,24.37,-11.89,-17.66,front,images/front/000028.png
28,-1.985,-0.7103,-1.5688,0.4253,-0.2075,-0.3081,-113.73,-40.7,-89.88,24.37,-11.89,-17.66,right,images/right/000028.png
28,-1.985,-0.7103,-1.5688,0.4253,-0.2075,-0.3081,-113.73,-40.7,-89.88,24.37,-11.89,-17.66,left,images/left/000028.png
28,-1.985,-0.7103,-1.5688,0.4253,-0.2075,-0.3081,-113.73,-40.7,-89.88,24.37,-11.89,-17.66,top,images/top/000028.png
29,-0.3308,-1.1071,-0.2619,0.5448,-0.4114,-0.3171,-18.95,-63.43,-15.01,31.22,-23.57,-18.17,front,images/front/000029.png
29,-0.3308,-1.1071,-0.2619,0.5448,-0.4114,-0.3171,-18.95,-63.43,-15.01,31.22,-23.57,-18.17,right,images/right/000029.png
29,-0.3308,-1.1071,-0.2619,0.5448,-0.4114,-0.3171,-18.95,-63.43,-15.01,31.22,-23.57,-18.17,left,images/left/000029.png
29,-0.3308,-1.1071,-0.2619,0.5448,-0.4114,-0.3171,-18.95,-63.43,-15.01,31.22,-23.57,-18.17,top,images/top/000029.png
30,-0.5429,-1.2748,0.7667,0.5448,-0.4576,-0.3107,-31.1,-73.04,43.93,31.22,-26.22,-17.8,front,images/front/000030.png
30,-0.5429,-1.2748,0.7667,0.5448,-0.4576,-0.3107,-31.1,-73.04,43.93,31.22,-26.22,-17.8,right,images/right/000030.png
30,-0.5429,-1.2748,0.7667,0.5448,-0.4576,-0.3107,-31.1,-73.04,43.93,31.22,-26.22,-17.8,left,images/left/000030.png
30,-0.5429,-1.2748,0.7667,0.5448,-0.4576,-0.3107,-31.1,-73.04,43.93,31.22,-26.22,-17.8,top,images/top/000030.png
31,-2.001,1.2659,0.6299,0.4324,-0.4484,-0.3107,-114.65,72.53,36.09,24.78,-25.69,-17.8,front,images/front/000031.png
31,-2.001,1.2659,0.6299,0.4324,-0.4484,-0.3107,-114.65,72.53,36.09,24.78,-25.69,-17.8,right,images/right/000031.png
31,-2.001,1.2659,0.6299,0.4324,-0.4484,-0.3107,-114.65,72.53,36.09,24.78,-25.69,-17.8,left,images/left/000031.png
31,-2.001,1.2659,0.6299,0.4324,-0.4484,-0.3107,-114.65,72.53,36.09,24.78,-25.69,-17.8,top,images/top/000031.png
32,-1.8441,1.5219,0.6339,0.4477,-0.0335,-0.0505,-105.66,87.2,36.32,25.65,-1.92,-2.89,front,images/front/000032.png
32,-1.8441,1.5219,0.6339,0.4477,-0.0335,-0.0505,-105.66,87.2,36.32,25.65,-1.92,-2.89,right,images/right/000032.png
32,-1.8441,1.5219,0.6339,0.4477,-0.0335,-0.0505,-105.66,87.2,36.32,25.65,-1.92,-2.89,left,images/left/000032.png
32,-1.8441,1.5219,0.6339,0.4477,-0.0335,-0.0505,-105.66,87.2,36.32,25.65,-1.92,-2.89,top,images/top/000032.png
33,0.3097,-0.6999,0.3772,0.438,-0.859,-0.0548,17.75,-40.1,21.61,25.09,-49.22,-3.14,front,images/front/000033.png
33,0.3097,-0.6999,0.3772,0.438,-0.859,-0.0548,17.75,-40.1,21.61,25.09,-49.22,-3.14,right,images/right/000033.png
33,0.3097,-0.6999,0.3772,0.438,-0.859,-0.0548,17.75,-40.1,21.61,25.09,-49.22,-3.14,left,images/left/000033.png
33,0.3097,-0.6999,0.3772,0.438,-0.859,-0.0548,17.75,-40.1,21.61,25.09,-49.22,-3.14,top,images/top/000033.png
34,0.5276,-1.3133,-1.0606,1.1818,-1.6524,-0.0673,30.23,-75.25,-60.77,67.71,-94.67,-3.86,front,images/front/000034.png
34,0.5276,-1.3133,-1.0606,1.1818,-1.6524,-0.0673,30.23,-75.25,-60.77,67.71,-94.67,-3.86,right,images/right/000034.png
34,0.5276,-1.3133,-1.0606,1.1818,-1.6524,-0.0673,30.23,-75.25,-60.77,67.71,-94.67,-3.86,left,images/left/000034.png
34,0.5276,-1.3133,-1.0606,1.1818,-1.6524,-0.0673,30.23,-75.25,-60.77,67.71,-94.67,-3.86,top,images/top/000034.png
35,0.8098,-1.3976,-1.1327,0.3801,-2.74,-0.0687,46.4,-80.08,-64.9,21.78,-156.99,-3.93,front,images/front/000035.png
35,0.8098,-1.3976,-1.1327,0.3801,-2.74,-0.0687,46.4,-80.08,-64.9,21.78,-156.99,-3.93,right,images/right/000035.png
35,0.8098,-1.3976,-1.1327,0.3801,-2.74,-0.0687,46.4,-80.08,-64.9,21.78,-156.99,-3.93,left,images/left/000035.png
35,0.8098,-1.3976,-1.1327,0.3801,-2.74,-0.0687,46.4,-80.08,-64.9,21.78,-156.99,-3.93,top,images/top/000035.png
36,1.9034,-0.2721,0.3785,-0.8808,-0.3581,-0.0687,109.06,-15.59,21.69,-50.47,-20.52,-3.93,front,images/front/000036.png
36,1.9034,-0.2721,0.3785,-0.8808,-0.3581,-0.0687,109.06,-15.59,21.69,-50.47,-20.52,-3.93,right,images/right/000036.png
36,1.9034,-0.2721,0.3785,-0.8808,-0.3581,-0.0687,109.06,-15.59,21.69,-50.47,-20.52,-3.93,left,images/left/000036.png
36,1.9034,-0.2721,0.3785,-0.8808,-0.3581,-0.0687,109.06,-15.59,21.69,-50.47,-20.52,-3.93,top,images/top/000036.png
37,1.7392,-0.4038,-0.1976,-0.8316,1.7315,-0.0561,99.65,-23.14,-11.32,-47.65,99.21,-3.21,front,images/front/000037.png
37,1.7392,-0.4038,-0.1976,-0.8316,1.7315,-0.0561,99.65,-23.14,-11.32,-47.65,99.21,-3.21,right,images/right/000037.png
37,1.7392,-0.4038,-0.1976,-0.8316,1.7315,-0.0561,99.65,-23.14,-11.32,-47.65,99.21,-3.21,left,images/left/000037.png
37,1.7392,-0.4038,-0.1976,-0.8316,1.7315,-0.0561,99.65,-23.14,-11.32,-47.65,99.21,-3.21,top,images/top/000037.png
38,0.9796,0.4204,1.0574,-0.3436,1.8633,-0.0561,56.13,24.09,60.59,-19.69,106.76,-3.21,front,images/front/000038.png
38,0.9796,0.4204,1.0574,-0.3436,1.8633,-0.0561,56.13,24.09,60.59,-19.69,106.76,-3.21,right,images/right/000038.png
38,0.9796,0.4204,1.0574,-0.3436,1.8633,-0.0561,56.13,24.09,60.59,-19.69,106.76,-3.21,left,images/left/000038.png
38,0.9796,0.4204,1.0574,-0.3436,1.8633,-0.0561,56.13,24.09,60.59,-19.69,106.76,-3.21,top,images/top/000038.png
39,1.6206,0.9636,1.8231,0.7024,1.7878,-0.1048,92.85,55.21,104.46,40.24,102.43,-6.0,front,images/front/000039.png
39,1.6206,0.9636,1.8231,0.7024,1.7878,-0.1048,92.85,55.21,104.46,40.24,102.43,-6.0,right,images/right/000039.png
39,1.6206,0.9636,1.8231,0.7024,1.7878,-0.1048,92.85,55.21,104.46,40.24,102.43,-6.0,left,images/left/000039.png
39,1.6206,0.9636,1.8231,0.7024,1.7878,-0.1048,92.85,55.21,104.46,40.24,102.43,-6.0,top,images/top/000039.png
40,1.5459,0.8976,-0.1707,-0.0231,-0.5263,-0.156,88.57,51.43,-9.78,-1.32,-30.15,-8.94,front,images/front/000040.png
40,1.5459,0.8976,-0.1707,-0.0231,-0.5263,-0.156,88.57,51.43,-9.78,-1.32,-30.15,-8.94,right,images/right/000040.png
40,1.5459,0.8976,-0.1707,-0.0231,-0.5263,-0.156,88.57,51.43,-9.78,-1.32,-30.15,-8.94,left,images/left/000040.png
40,1.5459,0.8976,-0.1707,-0.0231,-0.5263,-0.156,88.57,51.43,-9.78,-1.32,-30.15,-8.94,top,images/top/000040.png
41,1.3042,1.5337,0.5078,0.9173,-0.0357,-0.1776,74.72,87.88,29.09,52.56,-2.04,-10.18,front,images/front/000041.png
41,1.3042,1.5337,0.5078,0.9173,-0.0357,-0.1776,74.72,87.88,29.09,52.56,-2.04,-10.18,right,images/right/000041.png
41,1.3042,1.5337,0.5078,0.9173,-0.0357,-0.1776,74.72,87.88,29.09,52.56,-2.04,-10.18,left,images/left/000041.png
41,1.3042,1.5337,0.5078,0.9173,-0.0357,-0.1776,74.72,87.88,29.09,52.56,-2.04,-10.18,top,images/top/000041.png
42,1.5357,0.949,1.8497,0.6607,1.2828,-0.1776,87.99,54.37,105.98,37.86,73.5,-10.18,front,images/front/000042.png
42,1.5357,0.949,1.8497,0.6607,1.2828,-0.1776,87.99,54.37,105.98,37.86,73.5,-10.18,right,images/right/000042.png
42,1.5357,0.949,1.8497,0.6607,1.2828,-0.1776,87.99,54.37,105.98,37.86,73.5,-10.18,left,images/left/000042.png
42,1.5357,0.949,1.8497,0.6607,1.2828,-0.1776,87.99,54.37,105.98,37.86,73.5,-10.18,top,images/top/000042.png
43,0.3612,0.8286,-0.1165,0.1065,-0.0273,-0.165,20.7,47.48,-6.67,6.1,-1.57,-9.46,front,images/front/000043.png
43,0.3612,0.8286,-0.1165,0.1065,-0.0273,-0.165,20.7,47.48,-6.67,6.1,-1.57,-9.46,right,images/right/000043.png
43,0.3612,0.8286,-0.1165,0.1065,-0.0273,-0.165,20.7,47.48,-6.67,6.1,-1.57,-9.46,left,images/left/000043.png
43,0.3612,0.8286,-0.1165,0.1065,-0.0273,-0.165,20.7,47.48,-6.67,6.1,-1.57,-9.46,top,images/top/000043.png
44,-0.0286,-1.1177,-1.5358,-1.3944,-1.103,-0.1193,-1.64,-64.04,-88.0,-79.89,-63.19,-6.84,front,images/front/000044.png
44,-0.0286,-1.1177,-1.5358,-1.3944,-1.103,-0.1193,-1.64,-64.04,-88.0,-79.89,-63.19,-6.84,right,images/right/000044.png
44,-0.0286,-1.1177,-1.5358,-1.3944,-1.103,-0.1193,-1.64,-64.04,-88.0,-79.89,-63.19,-6.84,left,images/left/000044.png
44,-0.0286,-1.1177,-1.5358,-1.3944,-1.103,-0.1193,-1.64,-64.04,-88.0,-79.89,-63.19,-6.84,top,images/top/000044.png
45,-0.2601,-1.3861,-0.9238,-1.9502,-1.6002,-0.1319,-14.9,-79.42,-52.93,-111.74,-91.68,-7.56,front,images/front/000045.png
45,-0.2601,-1.3861,-0.9238,-1.9502,-1.6002,-0.1319,-14.9,-79.42,-52.93,-111.74,-91.68,-7.56,right,images/right/000045.png
45,-0.2601,-1.3861,-0.9238,-1.9502,-1.6002,-0.1319,-14.9,-79.42,-52.93,-111.74,-91.68,-7.56,left,images/left/000045.png
45,-0.2601,-1.3861,-0.9238,-1.9502,-1.6002,-0.1319,-14.9,-79.42,-52.93,-111.74,-91.68,-7.56,top,images/top/000045.png
46,-0.2098,-1.4084,-0.8968,-1.987,-1.5213,-0.2341,-12.02,-80.69,-51.38,-113.85,-87.17,-13.41,front,images/front/000046.png
46,-0.2098,-1.4084,-0.8968,-1.987,-1.5213,-0.2341,-12.02,-80.69,-51.38,-113.85,-87.17,-13.41,right,images/right/000046.png
46,-0.2098,-1.4084,-0.8968,-1.987,-1.5213,-0.2341,-12.02,-80.69,-51.38,-113.85,-87.17,-13.41,left,images/left/000046.png
46,-0.2098,-1.4084,-0.8968,-1.987,-1.5213,-0.2341,-12.02,-80.69,-51.38,-113.85,-87.17,-13.41,top,images/top/000046.png
47,0.4834,-1.627,-0.9048,-1.8622,0.0271,-1.1364,27.7,-93.22,-51.84,-106.7,1.55,-65.11,front,images/front/000047.png
47,0.4834,-1.627,-0.9048,-1.8622,0.0271,-1.1364,27.7,-93.22,-51.84,-106.7,1.55,-65.11,right,images/right/000047.png
